"","site","ID","Aluminum.Tag","Code","Sex","leafN_t0","tillerN_t0","bottomLeafN_t0","Block","tillerN_t1","flowerN_t1","Phenology_t1","flowerLength1_t1","flowerLength2_t1","flowerLength3_t1","Tillering_t1","Moisture.Standard_t1","Moisture.High.Clay_t1","Max.Height_t1","Comments_t1","year","flowerN_t0","Phenology_t0","flowerLength1_t0","flowerLength2_t0","flowerLength3_t0","Tillering_t0","Moisture.Standard_t0","Moisture.High.Clay_t0","Max.Height_t0","Comments_t0","MaxWidth_t1","MaxLength_t1","MaxWidth_t0","MaxLength_t0","sum_widths","clone_area_t0","clone_area_t1","Longitude","Latitude","long.scaled","long.center","unique.block","flow_t1","pc_fn","surv_t1","delta.tiller","log_ratio","ploidy","symb","col"
"2060","ozona",107,8,"CWM","F",NA,5,NA,2,32,5,"open",10.5,10.6,11.1,NA,NA,NA,NA,"",2017,1,"3",13.7,NA,NA,NA,NA,NA,NA,"",67,61,15,9,24,424.115008234622,12839.6891752215,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.2",1,0.15625,1,27,1.85629799036563,"low",21,"blue"
"2061","ozona",366,50,"LAR","F",NA,2,NA,9,21,0,"",NA,NA,NA,NA,NA,NA,NA,"",2017,0,"",NA,NA,NA,NA,NA,NA,NA,"10 cm inward",NA,NA,NA,NA,NA,NA,NA,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.9",0,0,1,19,2.35137525716348,"low",21,"blue"
"2062","ozona",308,83,"LAR","M",NA,27,NA,14,0,NA,"",NA,NA,NA,NA,NA,NA,NA,"",2016,2,NA,5.9,4.1,NA,0,2.2,3.7,NA,"",NA,NA,NA,NA,NA,NA,NA,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.14",NA,NA,0,-27,NA,"low",24,"red"
"2063","ozona",368,15,"SLR","F",7,2,0,3,2,0,NA,NA,NA,NA,NA,2.6,5.2,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.3",0,0,1,0,0,"low",21,"blue"
"2064","ozona",373,57,"SLR","M",9,3,0,10,10,1,NA,12.8,NA,NA,NA,0,3.1,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.10",1,0.1,1,7,1.20397280432594,"low",24,"red"
"2065","ozona",67,84,"CWM","M",8,3,0,14,1,0,NA,NA,NA,NA,0,2.2,3.9,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.14",0,0,1,-2,-1.09861228866811,"low",24,"red"
"2066","ozona",12,77,"QLP","F",NA,41,NA,13,90,41,"open",11.4,9.7,12.4,NA,NA,NA,NA,"",2017,1,"2",11,NA,NA,NA,NA,NA,NA,"",116,92,52,50,102,8168.14089933346,33527.0767991103,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.13",1,0.455555555555556,1,49,0.786237603625957,"low",21,"blue"
"2067","ozona",306,30,"LAR","M",22,7,6,5,19,2,NA,6,NA,NA,1,1.5,5,NA,"one of the flowers eaten; disturbance at front of planting spot ",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.5",1,0.105263157894737,1,12,0.998528830111127,"low",24,"red"
"2068","ozona",306,18,"LAR","M",NA,0,NA,3,0,NA,"",NA,NA,NA,NA,NA,NA,NA,"",2017,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.3",NA,NA,0,0,NA,"low",24,"red"
"2069","ozona",357,66,"SSC","M",NA,2,NA,11,18,1,"3",10.2,NA,NA,NA,NA,NA,NA,"",2016,1,NA,NA,NA,NA,1,0,1.5,NA,"",26,4,NA,NA,NA,NA,326.725635973339,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.11",1,0.0555555555555556,1,16,2.19722457733622,"low",24,"red"
"2070","ozona",293,14,"LAR","F",24,8,5,3,29,1,NA,8.3,NA,NA,NA,4.8,4.1,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.3",1,0.0344827586206897,1,21,1.28785428830664,"low",21,"blue"
